"pais","type","cantidad_titulos"
"United States","Movie                                                                                               ","2752"
"India","Movie                                                                                               ","962"
"United States","TV Show                                                                                             ","938"
"United Kingdom","Movie                                                                                               ","532"
"Canada","Movie                                                                                               ","319"
"France","Movie                                                                                               ","303"
"United Kingdom","TV Show                                                                                             ","272"
"Japan","TV Show                                                                                             ","199"
"Germany","Movie                                                                                               ","182"
"South Korea","TV Show                                                                                             ","171"
"Spain","Movie                                                                                               ","171"
"Canada","TV Show                                                                                             ","126"
"Japan","Movie                                                                                               ","119"
"China","Movie                                                                                               ","114"
"Mexico","Movie                                                                                               ","111"
"Egypt","Movie                                                                                               ","102"
"Hong Kong","Movie                                                                                               ","100"
"Australia","Movie                                                                                               ","94"
"Nigeria","Movie                                                                                               ","94"
"France","TV Show                                                                                             ","90"
"Indonesia","Movie                                                                                               ","86"
"India","TV Show                                                                                             ","84"
"Turkey","Movie                                                                                               ","83"
"Philippines","Movie                                                                                               ","80"
"Belgium","Movie                                                                                               ","78"
"Italy","Movie                                                                                               ","75"
"Argentina","Movie                                                                                               ","71"
"Taiwan","TV Show                                                                                             ","70"
"Australia","TV Show                                                                                             ","66"
"Brazil","Movie                                                                                               ","66"
"South Korea","Movie                                                                                               ","61"
"Spain","TV Show                                                                                             ","61"
"Mexico","TV Show                                                                                             ","58"
"South Africa","Movie                                                                                               ","51"
"China","TV Show                                                                                             ","48"
"Thailand","Movie                                                                                               ","46"
"Germany","TV Show                                                                                             ","44"
"Netherlands","Movie                                                                                               ","42"
"United Arab Emirates","Movie                                                                                               ","36"
"Denmark","Movie                                                                                               ","34"
"Colombia","TV Show                                                                                             ","32"
"Ireland","Movie                                                                                               ","32"
"Sweden","Movie                                                                                               ","31"
"Brazil","TV Show                                                                                             ","31"
"Poland","Movie                                                                                               ","31"
"Turkey","TV Show                                                                                             ","30"
"Italy","TV Show                                                                                             ","25"
"New Zealand","Movie                                                                                               ","25"
"Lebanon","Movie                                                                                               ","24"
"Chile","Movie                                                                                               ","24"
"Thailand","TV Show                                                                                             ","24"
"Singapore","TV Show                                                                                             ","23"
"Norway","Movie                                                                                               ","21"
"Argentina","TV Show                                                                                             ","20"
"Pakistan","Movie                                                                                               ","20"
"Colombia","Movie                                                                                               ","20"
"Taiwan","Movie                                                                                               ","19"
"Israel","Movie                                                                                               ","19"
"Malaysia","Movie                                                                                               ","18"
"Singapore","Movie                                                                                               ","18"
"Switzerland","Movie                                                                                               ","18"
"Russia","TV Show                                                                                             ","16"
"Czech Republic","Movie                                                                                               ","16"
"Egypt","TV Show                                                                                             ","15"
"Ireland","TV Show                                                                                             ","14"
"Romania","Movie                                                                                               ","14"
"Denmark","TV Show                                                                                             ","14"
"Uruguay","Movie                                                                                               ","13"
"Belgium","TV Show                                                                                             ","12"
"Israel","TV Show                                                                                             ","11"
"Austria","Movie                                                                                               ","11"
"Russia","Movie                                                                                               ","11"
"Sweden","TV Show                                                                                             ","11"
"South Africa","TV Show                                                                                             ","11"
"Hungary","Movie                                                                                               ","10"
"Luxembourg","Movie                                                                                               ","10"
"Peru","Movie                                                                                               ","10"
"Bulgaria","Movie                                                                                               ","10"
"Qatar","Movie                                                                                               ","10"
"Greece","Movie                                                                                               ","9"
"Nigeria","TV Show                                                                                             ","9"
"Saudi Arabia","Movie                                                                                               ","9"
"Norway","TV Show                                                                                             ","9"
"Poland","TV Show                                                                                             ","9"
"Iceland","Movie                                                                                               ","8"
"New Zealand","TV Show                                                                                             ","8"
"Netherlands","TV Show                                                                                             ","8"
"Malaysia","TV Show                                                                                             ","8"
"Finland","Movie                                                                                               ","7"
"Vietnam","Movie                                                                                               ","7"
"Jordan","Movie                                                                                               ","7"
"Lebanon","TV Show                                                                                             ","7"
"Serbia","Movie                                                                                               ","7"
"Kenya","Movie                                                                                               ","6"
"Portugal","Movie                                                                                               ","6"
"Czech Republic","TV Show                                                                                             ","6"
